,object_number,url,valid_link,image_link,seen
0,PC 20220001,https://opencontext.org/subjects/f183c45d-1504-492c-836e-d5dd8dd78560,True,https://artiraq.org/static/opencontext/poggio-civitate/2022-media/thumbs/cat-1657532635994.jpg,True
1,PC 20220002,https://opencontext.org/subjects/ac31fb1c-f2ce-43bb-9a13-70a9e5853529,True,https://artiraq.org/static/opencontext/poggio-civitate/2022-media/thumbs/cat-1657539166839.jpg,True
2,PC 20220008,https://opencontext.org/subjects/cebac75f-b6dd-4d82-8efd-517945a759eb,True,https://artiraq.org/static/opencontext/poggio-civitate/2022-media/thumbs/cat-1657791436014.jpg,True
3,PC 20220009,https://opencontext.org/subjects/2c992670-d732-4766-bb40-0af8220018ee,True,https://artiraq.org/static/opencontext/poggio-civitate/2022-media/thumbs/cat-1657792181096.jpg,True
4,PC 20220010,https://opencontext.org/subjects/7c6ab889-9398-4a00-9c06-b6ad8ecd0298,True,https://artiraq.org/static/opencontext/poggio-civitate/2022-media/thumbs/cat-1657792964372.jpg,True
5,PC 20220015,https://opencontext.org/subjects/9eb464c7-2fd7-4589-aa6f-5c8eab05263e,True,https://artiraq.org/static/opencontext/poggio-civitate/2022-media/thumbs/cat-1658124598622.jpg,True
6,PC 20220017,https://opencontext.org/subjects/47b7d846-93d8-4d6b-b959-72056e9f6c9f,True,https://artiraq.org/static/opencontext/poggio-civitate/2022-media/thumbs/20220017a-17-47-5.jpg,True
7,PC 20220018,https://opencontext.org/subjects/4af2e353-0133-4aa8-9f90-32e9a1507eb3,True,https://artiraq.org/static/opencontext/poggio-civitate/2022-media/thumbs/20220018a-17-50-32.jpg,True
8,PC 20220022,https://opencontext.org/subjects/98496a0d-8099-49fc-9dbc-a8d581b454ad,True,,True
9,PC 20220023,https://opencontext.org/subjects/c2c610ab-6f5b-4dff-88c9-1ff17f4d4169,True,https://artiraq.org/static/opencontext/poggio-civitate/2022-media/thumbs/20220023a-18-57-35.jpg,True
10,PC 20220024,https://opencontext.org/subjects/9d38ad11-709f-4950-ab35-af6f010d7b2c,True,https://artiraq.org/static/opencontext/poggio-civitate/2022-media/thumbs/20220024a-18-58-32.jpg,True
11,PC 20220025,https://opencontext.org/subjects/aa78e38b-54ed-42d2-972c-4c9af170a903,True,https://artiraq.org/static/opencontext/poggio-civitate/2022-media/thumbs/20220025a-19-2-8.jpg,True
12,PC 20220027,https://opencontext.org/subjects/dc121c14-ecee-41bd-ba14-183ca608b499,True,https://artiraq.org/static/opencontext/poggio-civitate/2022-media/thumbs/20220027a-18-56-56.jpg,True
13,PC 20220028,https://opencontext.org/subjects/8ef0b099-e1a2-4f92-90f0-56a606fe0c2a,True,https://artiraq.org/static/opencontext/poggio-civitate/2022-media/thumbs/20220028a-19-1-2.jpg,True
14,PC 20220029,https://opencontext.org/subjects/33bca915-3863-4786-b65b-a06c162409b5,True,https://artiraq.org/static/opencontext/poggio-civitate/2022-media/thumbs/20220029a-7-15-45.jpg,True
15,PC 20220030,https://opencontext.org/subjects/54946811-d722-4be9-b3c7-f6dd4a3f43d4,True,,True
16,PC 20220031,https://opencontext.org/subjects/23d93c3a-56e5-427e-8e17-edf169cdb169,True,https://artiraq.org/static/opencontext/poggio-civitate/2022-media/thumbs/cat-1658566347309.jpg,True
17,PC 20220032,https://opencontext.org/subjects/8296095e-130b-427c-bd17-caeb1a0894ae,True,https://artiraq.org/static/opencontext/poggio-civitate/2022-media/thumbs/20220032a-7-20-17.jpg,True
18,PC 20220034,https://opencontext.org/subjects/da17947c-9bb1-4b57-aaca-c45c29c61b8f,True,https://artiraq.org/static/opencontext/poggio-civitate/2022-media/thumbs/20220034a-7-26-3.jpg,True
19,PC 20220035,https://opencontext.org/subjects/16fefb1b-2d36-40e0-be8b-4e9869eaaa65,True,https://artiraq.org/static/opencontext/poggio-civitate/2022-media/thumbs/20220035a-7-31-56.jpg,True
20,PC 20220036,https://opencontext.org/subjects/fefccbed-7b9d-4916-aba1-d9831e7890fc,True,https://artiraq.org/static/opencontext/poggio-civitate/2022-media/thumbs/20220036a-7-36-57.jpg,True
21,PC 20220038,https://opencontext.org/subjects/effc8d71-4999-422b-a0e6-761b16765a87,True,https://artiraq.org/static/opencontext/poggio-civitate/2022-media/thumbs/20220038a-7-41-36.jpg,True
22,PC 20220039,https://opencontext.org/subjects/28d4a515-88e1-4222-b0bd-7296e1406a79,True,https://artiraq.org/static/opencontext/poggio-civitate/2022-media/thumbs/20220039a-7-45-32.jpg,True
23,PC 20220042,https://opencontext.org/subjects/e0e87d15-adba-4864-bd2c-f089a85199a7,True,https://artiraq.org/static/opencontext/poggio-civitate/2022-media/thumbs/20220042a-7-53-43.jpg,True
24,PC 20220047,https://opencontext.org/subjects/a5062a36-3c0f-4eb5-9846-7ab005229154,True,https://artiraq.org/static/opencontext/poggio-civitate/2022-media/thumbs/20220047a-8-32-13.jpg,True
25,PC 20220048,https://opencontext.org/subjects/0ca6d56b-5f4b-42c5-8ed0-be662c384101,True,https://artiraq.org/static/opencontext/poggio-civitate/2022-media/thumbs/20220048a-8-34-46.jpg,True
26,PC 20220050,https://opencontext.org/subjects/c33d57fa-2420-4ec2-9a06-c87b0bdbf323,True,https://artiraq.org/static/opencontext/poggio-civitate/2022-media/thumbs/20220050a-8-40-2.jpg,True
27,PC 20220054,https://opencontext.org/subjects/ca33faa6-3fc5-484b-a5e5-dc179c6e2d83,True,,True
28,PC 20220056,https://opencontext.org/subjects/51c3dd59-56a8-447e-95f3-e58eb512ed4c,True,https://storage.googleapis.com/opencontext-media/poggio-civitate/2023-media/thumbs/pc20220056a-10-17-46.jpg,True
29,PC 20220057,https://opencontext.org/subjects/9fd4e8f6-68d8-43d7-a17d-a69dcfa9bbee,True,https://artiraq.org/static/opencontext/poggio-civitate/2022-media/thumbs/20220057a-10-52-37.jpg,True
30,PC 20220058,https://opencontext.org/subjects/a9fa9e86-0329-43c7-b022-3dc3c4e4199c,True,https://artiraq.org/static/opencontext/poggio-civitate/2022-media/thumbs/20220058a-10-56-18.jpg,True
31,PC 20220059,https://opencontext.org/subjects/b3e6b4d3-a3eb-4a4d-8f76-0652fe3403bc,True,https://artiraq.org/static/opencontext/poggio-civitate/2022-media/thumbs/20220059a-11-1-2.jpg,True
32,PC 20220060,https://opencontext.org/subjects/668848d7-bfd3-4c21-8c5d-f1f701466a1a,True,https://artiraq.org/static/opencontext/poggio-civitate/2022-media/thumbs/20220060a-11-3-26.jpg,True
33,PC 20220061,https://opencontext.org/subjects/9239ef1d-28b0-4be5-b943-7f20baa68147,True,https://artiraq.org/static/opencontext/poggio-civitate/2022-media/thumbs/20220061a-11-5-45.jpg,True
34,PC 20220062,https://opencontext.org/subjects/bf2e8644-44fa-4d86-a27b-9a07e6daf53a,True,,True
35,PC 20220063,https://opencontext.org/subjects/9d8e399c-1451-441b-9479-b397f1b240e1,True,https://artiraq.org/static/opencontext/poggio-civitate/2022-media/thumbs/20220063a-11-12-12.jpg,True
36,PC 20220065,https://opencontext.org/subjects/114f4f0a-81a9-4570-8bf9-ca649d739ed2,True,https://artiraq.org/static/opencontext/poggio-civitate/2022-media/thumbs/20220065a-11-15-9.jpg,True
37,PC 20220066,https://opencontext.org/subjects/5b44b9be-2bb7-470a-9cbd-66d6c03ed6b8,True,https://artiraq.org/static/opencontext/poggio-civitate/2022-media/thumbs/20220066a-11-16-53.jpg,True
38,PC 20220068,https://opencontext.org/subjects/c3c93efd-5281-45d8-8bd2-7c1c25e19615,True,,True
39,PC 20220069,https://opencontext.org/subjects/c20f8610-d9ab-4e52-b281-110f0620ac11,True,https://artiraq.org/static/opencontext/poggio-civitate/2022-media/thumbs/20220069a-11-31-34.jpg,True
40,PC 20220070,https://opencontext.org/subjects/a28bc6e2-225f-4fd2-99f2-7c6ca3182192,True,,True
41,PC 20220071,https://opencontext.org/subjects/03b29e18-2255-4d9f-80fd-49b2c0131bcf,True,https://artiraq.org/static/opencontext/poggio-civitate/2022-media/thumbs/20220071a-11-37-33.jpg,True
42,PC 20220073,https://opencontext.org/subjects/e664e811-6114-440e-9b4c-1e810ec7cfd8,True,https://artiraq.org/static/opencontext/poggio-civitate/2022-media/thumbs/20220073a-11-43-8.jpg,True
43,PC 20220075,https://opencontext.org/subjects/2d375a1a-eeeb-4546-9538-0c08e404cc54,True,https://artiraq.org/static/opencontext/poggio-civitate/2022-media/thumbs/20220075a-11-59-17.jpg,True
44,PC 20220076,https://opencontext.org/subjects/62ec3b0f-3199-46f7-aa94-182ce8257418,True,,True
45,PC 20220078,https://opencontext.org/subjects/71b95aa6-008d-42bc-9339-49719f689c5e,True,https://artiraq.org/static/opencontext/poggio-civitate/2022-media/thumbs/20220078-13-24-53.jpg,True
46,PC 20220082,https://opencontext.org/subjects/1e9ef560-ad87-42a8-a85a-62c6ec8aebaf,True,https://artiraq.org/static/opencontext/poggio-civitate/2022-media/thumbs/20220082a-13-26-52.jpg,True
47,PC 20220083,https://opencontext.org/subjects/ede52fde-202a-4013-936b-b7a4a7e4b703,True,https://artiraq.org/static/opencontext/poggio-civitate/2022-media/thumbs/cat-pxl-20220802-072437934-exported-1755-1659425584676-9-34-14.jpg,True
48,PC 20220084,https://opencontext.org/subjects/2da45e16-4d53-4533-aba1-92c1809901ba,True,https://artiraq.org/static/opencontext/poggio-civitate/2022-media/thumbs/20220084a-13-28-32.jpg,True
49,PC 20220085,https://opencontext.org/subjects/38962366-a6ab-4647-9dc2-8d200374eb3f,True,https://artiraq.org/static/opencontext/poggio-civitate/2022-media/thumbs/20220085-13-30-11.jpg,True
