,polygon_id,year,trench_area,trench_number,x,y,new_id,book,uri
0,1,2011,CB,38,-45.0,-99.0,CB38_2011_1,,http://opencontext.org/subjects/17085bc0-4fa1-4236-6426-4861ad48b584
1,1,2011,CB,38,-43.0,-99.0,CB38_2011_1,,http://opencontext.org/subjects/17085bc0-4fa1-4236-6426-4861ad48b584
2,1,2011,CB,38,-43.0,-100.3,CB38_2011_1,,http://opencontext.org/subjects/17085bc0-4fa1-4236-6426-4861ad48b584
3,1,2011,CB,38,-45.0,-100.37,CB38_2011_1,,http://opencontext.org/subjects/17085bc0-4fa1-4236-6426-4861ad48b584
4,2,2011,CB,42,-45.0,-107.0,CB42_2011_2,,http://opencontext.org/subjects/855f361e-68d8-4bbe-5895-b351f48e8233
5,2,2011,CB,42,-50.0,-107.0,CB42_2011_2,,http://opencontext.org/subjects/855f361e-68d8-4bbe-5895-b351f48e8233
6,2,2011,CB,42,-50.0,-103.0,CB42_2011_2,,http://opencontext.org/subjects/855f361e-68d8-4bbe-5895-b351f48e8233
7,2,2011,CB,42,-45.0,-103.0,CB42_2011_2,,http://opencontext.org/subjects/855f361e-68d8-4bbe-5895-b351f48e8233
8,2,2011,CB,42,-43.0,-103.0,CB42_2011_2,,http://opencontext.org/subjects/855f361e-68d8-4bbe-5895-b351f48e8233
9,2,2011,CB,42,-43.0,-105.0,CB42_2011_2,,http://opencontext.org/subjects/855f361e-68d8-4bbe-5895-b351f48e8233
10,2,2011,CB,42,-45.0,-105.0,CB42_2011_2,,http://opencontext.org/subjects/855f361e-68d8-4bbe-5895-b351f48e8233
11,3,2011,CB,43,-35.0,-97.0,CB43_2011_3,,http://opencontext.org/subjects/bbdc297e-7ac1-4925-e775-6d1b75cc280c
12,3,2011,CB,43,-30.0,-97.0,CB43_2011_3,,http://opencontext.org/subjects/bbdc297e-7ac1-4925-e775-6d1b75cc280c
13,3,2011,CB,43,-30.0,-102.0,CB43_2011_3,,http://opencontext.org/subjects/bbdc297e-7ac1-4925-e775-6d1b75cc280c
14,3,2011,CB,43,-35.0,-102.0,CB43_2011_3,,http://opencontext.org/subjects/bbdc297e-7ac1-4925-e775-6d1b75cc280c
15,4,2011,CB,44,-40.0,-85.0,CB44_2011_4,,http://opencontext.org/subjects/d5464a7b-a7b0-4d11-368c-ecf47d1b9389
16,4,2011,CB,44,-35.0,-85.0,CB44_2011_4,,http://opencontext.org/subjects/d5464a7b-a7b0-4d11-368c-ecf47d1b9389
17,4,2011,CB,44,-35.0,-90.0,CB44_2011_4,,http://opencontext.org/subjects/d5464a7b-a7b0-4d11-368c-ecf47d1b9389
18,4,2011,CB,44,-40.0,-90.0,CB44_2011_4,,http://opencontext.org/subjects/d5464a7b-a7b0-4d11-368c-ecf47d1b9389
19,5,2011,CB,45,-13.0,-31.0,CB45_2011_5,,http://opencontext.org/subjects/9950174e-e880-4bef-b797-358a82f4a372
20,5,2011,CB,45,-13.0,-29.0,CB45_2011_5,,http://opencontext.org/subjects/9950174e-e880-4bef-b797-358a82f4a372
21,5,2011,CB,45,-11.0,-29.0,CB45_2011_5,,http://opencontext.org/subjects/9950174e-e880-4bef-b797-358a82f4a372
22,5,2011,CB,45,-11.0,-27.0,CB45_2011_5,,http://opencontext.org/subjects/9950174e-e880-4bef-b797-358a82f4a372
23,5,2011,CB,45,-8.0,-27.0,CB45_2011_5,,http://opencontext.org/subjects/9950174e-e880-4bef-b797-358a82f4a372
24,5,2011,CB,45,-8.0,-29.0,CB45_2011_5,,http://opencontext.org/subjects/9950174e-e880-4bef-b797-358a82f4a372
25,5,2011,CB,45,-8.0,-31.0,CB45_2011_5,,http://opencontext.org/subjects/9950174e-e880-4bef-b797-358a82f4a372
26,5,2011,CB,45,-8.0,-32.0,CB45_2011_5,,http://opencontext.org/subjects/9950174e-e880-4bef-b797-358a82f4a372
27,5,2011,CB,45,-11.0,-32.0,CB45_2011_5,,http://opencontext.org/subjects/9950174e-e880-4bef-b797-358a82f4a372
28,5,2011,CB,45,-11.0,-31.0,CB45_2011_5,,http://opencontext.org/subjects/9950174e-e880-4bef-b797-358a82f4a372
29,6,2011,CB,46,0.0,-29.0,CB46_2011_6,,http://opencontext.org/subjects/cfe33cd1-b119-4d65-e2ff-8dafabeac941
30,6,2011,CB,46,0.0,-31.0,CB46_2011_6,,http://opencontext.org/subjects/cfe33cd1-b119-4d65-e2ff-8dafabeac941
31,6,2011,CB,46,0.0,-33.0,CB46_2011_6,,http://opencontext.org/subjects/cfe33cd1-b119-4d65-e2ff-8dafabeac941
32,6,2011,CB,46,0.0,-35.0,CB46_2011_6,,http://opencontext.org/subjects/cfe33cd1-b119-4d65-e2ff-8dafabeac941
33,6,2011,CB,46,-1.0,-35.0,CB46_2011_6,,http://opencontext.org/subjects/cfe33cd1-b119-4d65-e2ff-8dafabeac941
34,6,2011,CB,46,-1.0,-33.0,CB46_2011_6,,http://opencontext.org/subjects/cfe33cd1-b119-4d65-e2ff-8dafabeac941
35,6,2011,CB,46,-3.0,-33.0,CB46_2011_6,,http://opencontext.org/subjects/cfe33cd1-b119-4d65-e2ff-8dafabeac941
36,6,2011,CB,46,-3.0,-31.0,CB46_2011_6,,http://opencontext.org/subjects/cfe33cd1-b119-4d65-e2ff-8dafabeac941
37,6,2011,CB,46,-1.0,-31.0,CB46_2011_6,,http://opencontext.org/subjects/cfe33cd1-b119-4d65-e2ff-8dafabeac941
38,6,2011,CB,46,-1.0,-29.0,CB46_2011_6,,http://opencontext.org/subjects/cfe33cd1-b119-4d65-e2ff-8dafabeac941
39,7,2011,CB,47,-5.0,-32.0,CB47_2011_7,,http://opencontext.org/subjects/ccaa1707-e736-4cc6-d2f7-f6de62998fd4
40,7,2011,CB,47,-5.0,-33.0,CB47_2011_7,,http://opencontext.org/subjects/ccaa1707-e736-4cc6-d2f7-f6de62998fd4
41,7,2011,CB,47,-5.0,-35.0,CB47_2011_7,,http://opencontext.org/subjects/ccaa1707-e736-4cc6-d2f7-f6de62998fd4
42,7,2011,CB,47,-8.0,-35.0,CB47_2011_7,,http://opencontext.org/subjects/ccaa1707-e736-4cc6-d2f7-f6de62998fd4
43,7,2011,CB,47,-8.0,-33.0,CB47_2011_7,,http://opencontext.org/subjects/ccaa1707-e736-4cc6-d2f7-f6de62998fd4
44,7,2011,CB,47,-6.0,-33.0,CB47_2011_7,,http://opencontext.org/subjects/ccaa1707-e736-4cc6-d2f7-f6de62998fd4
45,7,2011,CB,47,-6.0,-32.0,CB47_2011_7,,http://opencontext.org/subjects/ccaa1707-e736-4cc6-d2f7-f6de62998fd4
46,8,2011,CB,48,-80.0,-104.0,CB48_2011_8,,http://opencontext.org/subjects/7940b16c-1c48-457d-937b-98ebb5cf4980
47,8,2011,CB,48,-78.0,-104.0,CB48_2011_8,,http://opencontext.org/subjects/7940b16c-1c48-457d-937b-98ebb5cf4980
48,8,2011,CB,48,-78.0,-105.2,CB48_2011_8,,http://opencontext.org/subjects/7940b16c-1c48-457d-937b-98ebb5cf4980
49,8,2011,CB,48,-80.0,-105.2,CB48_2011_8,,http://opencontext.org/subjects/7940b16c-1c48-457d-937b-98ebb5cf4980
50,9,2011,CB,49,-7.0,-29.0,CB49_2011_9,,http://opencontext.org/subjects/c26457da-4b00-484e-f27e-85f2a2e88314
51,9,2011,CB,49,-6.0,-29.0,CB49_2011_9,,http://opencontext.org/subjects/c26457da-4b00-484e-f27e-85f2a2e88314
52,9,2011,CB,49,-4.0,-29.0,CB49_2011_9,,http://opencontext.org/subjects/c26457da-4b00-484e-f27e-85f2a2e88314
53,9,2011,CB,49,-4.0,-32.0,CB49_2011_9,,http://opencontext.org/subjects/c26457da-4b00-484e-f27e-85f2a2e88314
54,9,2011,CB,49,-6.0,-32.0,CB49_2011_9,,http://opencontext.org/subjects/c26457da-4b00-484e-f27e-85f2a2e88314
55,9,2011,CB,49,-7.0,-32.0,CB49_2011_9,,http://opencontext.org/subjects/c26457da-4b00-484e-f27e-85f2a2e88314
56,10,2011,CB,50,-43.0,-96.0,CB50_2011_10,,http://opencontext.org/subjects/87e9b5c3-0828-4f60-5f9a-db48ccab3cca
57,10,2011,CB,50,-39.0,-96.0,CB50_2011_10,,http://opencontext.org/subjects/87e9b5c3-0828-4f60-5f9a-db48ccab3cca
58,10,2011,CB,50,-39.0,-98.0,CB50_2011_10,,http://opencontext.org/subjects/87e9b5c3-0828-4f60-5f9a-db48ccab3cca
59,10,2011,CB,50,-43.0,-98.0,CB50_2011_10,,http://opencontext.org/subjects/87e9b5c3-0828-4f60-5f9a-db48ccab3cca
60,11,2011,CB,51,-86.0,-96.0,CB51_2011_11,,http://opencontext.org/subjects/500ec0ee-1078-4be4-762d-3c66fcf853c2
61,11,2011,CB,51,-86.0,-94.0,CB51_2011_11,,http://opencontext.org/subjects/500ec0ee-1078-4be4-762d-3c66fcf853c2
62,11,2011,CB,51,-89.0,-94.0,CB51_2011_11,,http://opencontext.org/subjects/500ec0ee-1078-4be4-762d-3c66fcf853c2
63,11,2011,CB,51,-89.0,-96.0,CB51_2011_11,,http://opencontext.org/subjects/500ec0ee-1078-4be4-762d-3c66fcf853c2
64,12,2010,CA,63,8.0,-2.0,CA63_2010_12,,http://opencontext.org/subjects/a5049327-bcce-43b2-aa50-2fbebd620bdf
65,12,2010,CA,63,4.0,-2.0,CA63_2010_12,,http://opencontext.org/subjects/a5049327-bcce-43b2-aa50-2fbebd620bdf
66,12,2010,CA,63,4.0,-5.0,CA63_2010_12,,http://opencontext.org/subjects/a5049327-bcce-43b2-aa50-2fbebd620bdf
67,12,2010,CA,63,8.0,-5.0,CA63_2010_12,,http://opencontext.org/subjects/a5049327-bcce-43b2-aa50-2fbebd620bdf
68,13,2010,CA,64,0.0,11.6,CA64_2010_13,,http://opencontext.org/subjects/60f9b8c2-7279-4bf5-9bd1-a0a1c3747017
69,13,2010,CA,64,2.0,11.6,CA64_2010_13,,http://opencontext.org/subjects/60f9b8c2-7279-4bf5-9bd1-a0a1c3747017
70,13,2010,CA,64,2.3,11.0,CA64_2010_13,,http://opencontext.org/subjects/60f9b8c2-7279-4bf5-9bd1-a0a1c3747017
71,13,2010,CA,64,2.3,8.0,CA64_2010_13,,http://opencontext.org/subjects/60f9b8c2-7279-4bf5-9bd1-a0a1c3747017
72,13,2010,CA,64,-1.0,8.0,CA64_2010_13,,http://opencontext.org/subjects/60f9b8c2-7279-4bf5-9bd1-a0a1c3747017
73,13,2010,CA,64,-1.0,11.0,CA64_2010_13,,http://opencontext.org/subjects/60f9b8c2-7279-4bf5-9bd1-a0a1c3747017
74,14,2010,CA,65,5.0,4.0,CA65_2010_14,,http://opencontext.org/subjects/3c36cd47-17fe-4390-aa8b-0ba9af8c0a79
75,14,2010,CA,65,9.0,4.0,CA65_2010_14,,http://opencontext.org/subjects/3c36cd47-17fe-4390-aa8b-0ba9af8c0a79
76,14,2010,CA,65,9.0,1.0,CA65_2010_14,,http://opencontext.org/subjects/3c36cd47-17fe-4390-aa8b-0ba9af8c0a79
77,14,2010,CA,65,5.0,1.0,CA65_2010_14,,http://opencontext.org/subjects/3c36cd47-17fe-4390-aa8b-0ba9af8c0a79
78,15,2010,CA,67,-44.0,26.0,CA67_2010_15,,http://opencontext.org/subjects/a08a8f9b-dfac-436c-6d6e-f08ede4c40db
