,Item Label,URI,Context [4],Context [5],Trench Abbreviation,Trench Number,Year
1,"1979, ID:83",http://opencontext.org/subjects/21bd6d20-9202-4d7e-8238-6e06bce587d2,Tesoro,Tesoro 21,T,21,1979
2,"1970, ID:442",http://opencontext.org/subjects/3afaaab3-24c6-4f5d-d993-da4006935924,Tesoro,Tesoro 6E (2),T,6E,1970
3,"1983, ID:116",http://opencontext.org/subjects/e41e9373-bad4-4064-a200-bfeaeca5fabd,Tesoro,Tesoro 26,T,26,1983
4,"1969, ID:463",http://opencontext.org/subjects/a96fbda0-9054-4140-9622-cb07ce613758,Civitate A,Civitate A 13,CA,13,1969
5,"1980, ID:417",http://opencontext.org/subjects/66ebb4f3-2e71-49d9-002d-ee6079231f29,Agger,Agger 11,A,11,1980
9,"1968, ID:485",http://opencontext.org/subjects/5153b969-2077-4e31-edd1-abb4f764abc7,Civitate A,Civitate A 2,CA,2,1968
12,"1971, ID:394",http://opencontext.org/subjects/c1effcc9-3fbd-46c0-2160-38a6273dfdeb,Civitate A,Civitate A 28,CA,28,1971
15,"1978, ID:453",http://opencontext.org/subjects/39e93c14-2dfe-4ff4-bcec-7a4f30de064a,Tesoro Rectangle,"Tesoro Rectangle 6,7 Doorway",TR,"6,7",1978
16,"1967, ID:523",http://opencontext.org/subjects/2cea9c34-d5e1-4467-2ce7-27d269ba845c,Tesoro,Tesoro 1AN,T,1AN,1967
19,"1999, ID:365",http://opencontext.org/subjects/646f3438-9bbf-46f1-71e9-0bec2e095ea4,Tesoro,Tesoro 26 South,T,26,1999
20,"2001, ID:445",http://opencontext.org/subjects/c0f52f4c-8161-4db6-0175-1bcae89cdc1d,Tesoro,Tesoro 22 West Extension,T,22,2001
22,"1967, ID:158",http://opencontext.org/subjects/4500ca4a-4b5a-41e8-5337-1c77990375af,Civitate A,Civitate A 2F,CA,2F,1967
24,"1974, ID:387",http://opencontext.org/subjects/e2ee71f0-755c-474d-3f02-d8e0b67b73de,Tesoro,Tesoro 20,T,20,1974
27,"1987, ID:432",http://opencontext.org/subjects/278f96d8-b34a-4b46-90ba-1c67a7a1a81d,Tesoro,Tesoro 26,T,26,1987
31,"1982, ID:423",http://opencontext.org/subjects/1d751acc-a48d-4256-0898-2556e5280c56,Tesoro,Tesoro 19,T,19,1982
