polygon_id,year,trench_area,trench_number,x,y,new_id,book,uri
1,2011,CB,38,-45,-99,CB38_2011_1,,
1,2011,CB,38,-43,-99,CB38_2011_1,,
1,2011,CB,38,-43,-100.3,CB38_2011_1,,
1,2011,CB,38,-45,-100.37,CB38_2011_1,,
2,2011,CB,42,-45,-107,CB42_2011_2,,
2,2011,CB,42,-50,-107,CB42_2011_2,,
2,2011,CB,42,-50,-103,CB42_2011_2,,
2,2011,CB,42,-45,-103,CB42_2011_2,,
2,2011,CB,42,-43,-103,CB42_2011_2,,
2,2011,CB,42,-43,-105,CB42_2011_2,,
2,2011,CB,42,-45,-105,CB42_2011_2,,
3,2011,CB,43,-35,-97,CB43_2011_3,,
3,2011,CB,43,-30,-97,CB43_2011_3,,
3,2011,CB,43,-30,-102,CB43_2011_3,,
3,2011,CB,43,-35,-102,CB43_2011_3,,
4,2011,CB,44,-40,-85,CB44_2011_4,,
4,2011,CB,44,-35,-85,CB44_2011_4,,
4,2011,CB,44,-35,-90,CB44_2011_4,,
4,2011,CB,44,-40,-90,CB44_2011_4,,
5,2011,CB,45,-13,-31,CB45_2011_5,,
5,2011,CB,45,-13,-29,CB45_2011_5,,
5,2011,CB,45,-11,-29,CB45_2011_5,,
5,2011,CB,45,-11,-27,CB45_2011_5,,
5,2011,CB,45,-8,-27,CB45_2011_5,,
5,2011,CB,45,-8,-29,CB45_2011_5,,
5,2011,CB,45,-8,-31,CB45_2011_5,,
5,2011,CB,45,-8,-32,CB45_2011_5,,
5,2011,CB,45,-11,-32,CB45_2011_5,,
5,2011,CB,45,-11,-31,CB45_2011_5,,
6,2011,CB,46,0,-29,CB46_2011_6,,
6,2011,CB,46,0,-31,CB46_2011_6,,
6,2011,CB,46,0,-33,CB46_2011_6,,
6,2011,CB,46,0,-35,CB46_2011_6,,
6,2011,CB,46,-1,-35,CB46_2011_6,,
6,2011,CB,46,-1,-33,CB46_2011_6,,
6,2011,CB,46,-3,-33,CB46_2011_6,,
6,2011,CB,46,-3,-31,CB46_2011_6,,
6,2011,CB,46,-1,-31,CB46_2011_6,,
6,2011,CB,46,-1,-29,CB46_2011_6,,
7,2011,CB,47,-5,-32,CB47_2011_7,,
7,2011,CB,47,-5,-33,CB47_2011_7,,
7,2011,CB,47,-5,-35,CB47_2011_7,,
7,2011,CB,47,-8,-35,CB47_2011_7,,
7,2011,CB,47,-8,-33,CB47_2011_7,,
7,2011,CB,47,-6,-33,CB47_2011_7,,
7,2011,CB,47,-6,-32,CB47_2011_7,,
8,2011,CB,48,-80,-104,CB48_2011_8,,
8,2011,CB,48,-78,-104,CB48_2011_8,,
8,2011,CB,48,-78,-105.2,CB48_2011_8,,
