"Item Label","URI","Citation URI","Project","Project URI","Context","Context [2]","Context [3]","Context [4]","Context [5]","Context URI","Latitude (WGS 84)","Longitude (WGS 84)","Early BCE/CE","Late BCE/CE","Item Category","icon","Thumbnail","Published Date","Updated Date"
"1971, ID:286","http://opencontext.org/subjects/f81f3432-2a5c-40e4-ce78-b40e4be7a3f7","https://n2t.net/ark:/28722/k28k78x7d","Murlo","https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f","Europe","Italy","Poggio Civitate","Tesoro Rectangle","Tesoro Rectangle 8","https://opencontext.org/subjects/d9f0545a-a48b-4dbf-daca-c78abb6e3441","43.15333300786795","11.4013814554399","-700","-535","Excavation Unit","https://opencontext.org/static/oc/icons-v2/oc-context-icon.svg","https://artiraq.org/static/opencontext/poggio-civitate/thumbs/trenchbookimages/uncropped/IEdlundIV_244,245.JPG","2012-12-28T00:00:00Z","2025-04-05T15:48:53Z"
"1979, ID:83","http://opencontext.org/subjects/21bd6d20-9202-4d7e-8238-6e06bce587d2","https://n2t.net/ark:/28722/k2445nd49","Murlo","https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f","Europe","Italy","Poggio Civitate","Tesoro","Tesoro 21","https://opencontext.org/subjects/d1d5cd18-52e4-4df6-3996-57c51161bcb2","43.152510561262","11.402454384006","-700","-535","Excavation Unit","https://opencontext.org/static/oc/icons-v2/oc-context-icon.svg","https://artiraq.org/static/opencontext/poggio-civitate/thumbs/trenchbookimages/FAlbertsonI/FAlbertsonI_362,363.jpg","2012-12-28T00:00:00Z","2025-04-05T15:49:02Z"
"1970, ID:442","http://opencontext.org/subjects/3afaaab3-24c6-4f5d-d993-da4006935924","https://n2t.net/ark:/28722/k22v2hb66","Murlo","https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f","Europe","Italy","Poggio Civitate","Tesoro","Tesoro 6E (2)","https://opencontext.org/subjects/4c6c9143-1ca5-4a6a-980e-87f5f07a088e","43.15307900633446","11.401610277743854","-700","-535","Excavation Unit","https://opencontext.org/static/oc/icons-v2/oc-context-icon.svg","https://artiraq.org/static/opencontext/poggio-civitate/thumbs/trenchbookimages/uncropped/IEdlundI_290,291.JPG","2012-12-28T00:00:00Z","2025-04-05T15:48:50Z"
"1983, ID:116","http://opencontext.org/subjects/e41e9373-bad4-4064-a200-bfeaeca5fabd","https://n2t.net/ark:/28722/k2xs5pj46","Murlo","https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f","Europe","Italy","Poggio Civitate","Tesoro","Tesoro 26","https://opencontext.org/subjects/85992e07-7da1-4af7-f0b8-2209cbe4f57f","43.15265000000001","11.401850000000001","-700","-535","Excavation Unit","https://opencontext.org/static/oc/icons-v2/oc-context-icon.svg","https://artiraq.org/static/opencontext/poggio-civitate/thumbs/trenchbookimages/uncropped/MTobeyVIII_400,401.JPG","2012-12-28T00:00:00Z","2025-07-02T10:34:36Z"
"1969, ID:463","http://opencontext.org/subjects/a96fbda0-9054-4140-9622-cb07ce613758","https://n2t.net/ark:/28722/k2pn92g97","Murlo","https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f","Europe","Italy","Poggio Civitate","Civitate A","Civitate A 13","https://opencontext.org/subjects/4d14cdaf-5e48-47a9-242f-a19071009b4c","43.153556055504","11.40012431958","-700","-535","Excavation Unit","https://opencontext.org/static/oc/icons-v2/oc-context-icon.svg","https://artiraq.org/static/opencontext/poggio-civitate/thumbs/trenchbookimages/BBridgesI/BBridgesI_26,27.jpg","2012-12-28T00:00:00Z","2025-04-05T15:48:47Z"
"1980, ID:417","http://opencontext.org/subjects/66ebb4f3-2e71-49d9-002d-ee6079231f29","https://n2t.net/ark:/28722/k2jq0xw33","Murlo","https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f","Europe","Italy","Poggio Civitate","Agger","Agger 11","https://opencontext.org/subjects/7b70ad0d-f25b-428d-41ea-ae9fff2a1c86","43.15276897316347","11.401003881109087","-700","-535","Excavation Unit","https://opencontext.org/static/oc/icons-v2/oc-context-icon.svg","https://artiraq.org/static/opencontext/poggio-civitate/thumbs/trenchbookimages/uncropped/LRLacyI_392,393.JPG","2012-12-28T00:00:00Z","2025-04-05T15:49:04Z"
"1981, ID:419","http://opencontext.org/subjects/171aa8d2-bc5f-4d17-f3b0-5a49dd4e3db2","https://n2t.net/ark:/28722/k23b61916","Murlo","https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f","Europe","Italy","Poggio Civitate","Tesoro","Tesoro 23","https://opencontext.org/subjects/7d95d727-e50a-412a-0129-5d4f57812599","43.15274389475852","11.402132283576838","-700","-535","Excavation Unit","https://opencontext.org/static/oc/icons-v2/oc-context-icon.svg","https://artiraq.org/static/opencontext/poggio-civitate/thumbs/trenchbookimages/MTobeyIV/MTobeyIV_108,109.jpg","2012-12-28T00:00:00Z","2025-04-05T15:49:05Z"
"1977, ID:454","http://opencontext.org/subjects/42a76947-22b6-4ac1-c96b-46a543a98dfc","https://n2t.net/ark:/28722/k2jw8bp15","Murlo","https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f","Europe","Italy","Poggio Civitate","Tesoro Rectangle","Tesoro Rectangle 2","https://opencontext.org/subjects/2ec1808c-2404-42de-bf5b-1a53e8ed8f7b","43.15335951972235","11.402088752286172","-700","-535","Excavation Unit","https://opencontext.org/static/oc/icons-v2/oc-context-icon.svg","https://artiraq.org/static/opencontext/poggio-civitate/thumbs/trenchbookimages/uncropped/JMcCallumII_133,133.JPG","2012-12-28T00:00:00Z","2025-04-05T15:49:00Z"
"1970, ID:195","http://opencontext.org/subjects/ba4dd0ac-d9fc-43ae-b343-7a100244fce0","https://n2t.net/ark:/28722/k2319x41r","Murlo","https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f","Europe","Italy","Poggio Civitate","Civitate A","Civitate A 28","https://opencontext.org/subjects/e6c393f9-9543-431e-7af9-3625e7c58884","43.15342329969112","11.401286983386424","-700","-535","Excavation Unit","https://opencontext.org/static/oc/icons-v2/oc-context-icon.svg","https://artiraq.org/static/opencontext/poggio-civitate/thumbs/trenchbookimages/uncropped/ENielsenI_214,215.JPG","2012-12-28T00:00:00Z","2025-04-05T15:48:48Z"
"1968, ID:485","http://opencontext.org/subjects/5153b969-2077-4e31-edd1-abb4f764abc7","https://n2t.net/ark:/28722/k2mk69922","Murlo","https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f","Europe","Italy","Poggio Civitate","Civitate A","Civitate A 2","https://opencontext.org/subjects/1c62135e-c1d0-4eef-e640-30862635d42f","43.153422927856","11.401146316528","-700","-535","Excavation Unit","https://opencontext.org/static/oc/icons-v2/oc-context-icon.svg","https://artiraq.org/static/opencontext/poggio-civitate/thumbs/trenchbookimages/uncropped/JWrightI_145,145.JPG","2012-12-28T00:00:00Z","2025-04-05T15:48:41Z"
